CR40182	FBtr0302347
CG12581	FBtr0078962
CG12582	FBtr0078964
CG12582	FBtr0336702
aux	FBtr0078966
CG14641	FBtr0078985
abs	FBtr0078967
Vps24	FBtr0078958
CG9776	FBtr0078955
hkb	FBtr0078951
CG11739	FBtr0078914
CG11739	FBtr0078915
CG14646	FBtr0302339
CG14646	FBtr0078919
CG9855	FBtr0339552
CG9855	FBtr0078950
CG9853	FBtr0344215
CG9853	FBtr0078949
CG14647	FBtr0290222
lost	FBtr0078921
srl	FBtr0078946
eIF3-S10	FBtr0346646
eIF3-S10	FBtr0078944
CG1074	FBtr0078925
CG9804	FBtr0346735
CG9804	FBtr0078943
CG14650	FBtr0078926
CG31523	FBtr0078938
CG31523	FBtr0078935
CG14651	FBtr0299947
Fip1	FBtr0078928
CG9775	FBtr0301297
MED31	FBtr0078856
MED31	FBtr0078857
slx1	FBtr0301296
Dip2	FBtr0078893
rpk	FBtr0078859
Karybeta3	FBtr0078860
Karybeta3	FBtr0336462
CG9769	FBtr0078892
tacc	FBtr0302614
atms	FBtr0078868
CG1129	FBtr0078870
CG14657	FBtr0334900
CG14657	FBtr0078875
Gnf1	FBtr0078837
Ubc6	FBtr0306106
cno	FBtr0300525
CG2604	FBtr0078830
CG2604	FBtr0078829
CG2604	FBtr0078828
Kat60	FBtr0078827
CG12163	FBtr0078822
CG12173	FBtr0078821
Hph	FBtr0334276
Hph	FBtr0344333
Hph	FBtr0334275
CR45033	FBtr0344334
CG11999	FBtr0078807
CG1161	FBtr0078785
Prosbeta7	FBtr0078806
Prosbeta7	FBtr0078805
RpII18	FBtr0078787
CG14667	FBtr0100433
CG1172	FBtr0078792
CG1172	FBtr0309312
CG1172	FBtr0333810
PEK	FBtr0330026
PEK	FBtr0078770
RpL35A	FBtr0078769
CG12162	FBtr0078680
mRpL44	FBtr0078768
Snr1	FBtr0078682
Hdac3	FBtr0078767
CG45100	FBtr0344635
ksr	FBtr0344273
ksr	FBtr0078766
ksr	FBtr0344274
CG31550	FBtr0336770
CG2519	FBtr0078761
CG2519	FBtr0078762
Snm1	FBtr0078688
CG2931	FBtr0078753
CG2926	FBtr0078752
rev7	FBtr0078699
noi	FBtr0078751
Vha26	FBtr0078700
Vha26	FBtr0078701
Vha26	FBtr0346137
asl	FBtr0078743
Rga	FBtr0078741
Atu	FBtr0078704
CG2911	FBtr0078740
RpL13A	FBtr0078705
snoRNA:Me28S-U2134a	FBtr0114327
CG31551	FBtr0078706
CG31549	FBtr0078707
CG31549	FBtr0335215
CG12171	FBtr0078708
CG31546	FBtr0078737
CG31548	FBtr0078736
MTA1-like	FBtr0078733
MTA1-like	FBtr0078734
MTA1-like	FBtr0330315
Sec23	FBtr0339320
elm	FBtr0334953
elm	FBtr0078732
MED27	FBtr0078712
CG1109	FBtr0078713
Xe7	FBtr0078728
Atg17	FBtr0078716
Rab23	FBtr0078727
CG2100	FBtr0301574
CG2100	FBtr0078724
CG1236	FBtr0078721
Sym	FBtr0078723
Madm	FBtr0078722
CG2091	FBtr0078678
jagn	FBtr0078625
jagn	FBtr0078624
CG2051	FBtr0078670
Rpn5	FBtr0078629
CG1218	FBtr0078630
CG10979	FBtr0078631
CG10979	FBtr0335518
Hpr1	FBtr0078667
CG2023	FBtr0078666
CG2023	FBtr0344117
dgrn	FBtr0078638
dgrn	FBtr0344116
disp	FBtr0078665
ECSIT	FBtr0078647
Rm62	FBtr0078650
SmD2	FBtr0081737
CG18048	FBtr0081712
Pak	FBtr0081715
Pak	FBtr0334544
CG10286	FBtr0081717
TfIIFalpha	FBtr0081719
Dmtn	FBtr0289939
gpp	FBtr0334322
CG9727	FBtr0081730
Zif	FBtr0081728
CG1307	FBtr0301623
twr	FBtr0081687
agt	FBtr0081697
zen2	FBtr0290296
zen2	FBtr0081671
zen	FBtr0081670
bcd	FBtr0081665
bcd	FBtr0081666
bcd	FBtr0081667
bcd	FBtr0081668
CR45593	FBtr0346240
CR44930	FBtr0343900
ftz	FBtr0081625
CR44931	FBtr0343901
CR45559	FBtr0346215
CG1105	FBtr0081645
CG1943	FBtr0081635
Ref1	FBtr0081642
Dpck	FBtr0081638
CR45907	FBtr0346978
alphaTub84B	FBtr0081639
Alh	FBtr0081614
CG10098	FBtr0081563
CG10068	FBtr0081611
CG2656	FBtr0081568
gfzf	FBtr0091512
gfzf	FBtr0334671
MAGE	FBtr0081606
CG10055	FBtr0081605
CG1234	FBtr0081599
CG1142	FBtr0081559
scaRNA:MeU5-C46	FBtr0081560
alphaTub84D	FBtr0081538
sgll	FBtr0081748
mRpS9	FBtr0081766
CG2943	FBtr0081765
CG2943	FBtr0339715
Taf7	FBtr0114520
lds	FBtr0081758
CD98hc	FBtr0081824
CG14463	FBtr0335224
CG14463	FBtr0081783
CG2767	FBtr0081822
CG3223	FBtr0081785
CG10435	FBtr0081820
Pbp95	FBtr0081786
ImpE3	FBtr0310412
CG11035	FBtr0081816
puc	FBtr0081792
CG7878	FBtr0113205
CG9667	FBtr0339725
Gie	FBtr0081794
Gie	FBtr0339723
Gie	FBtr0339724
CG7800	FBtr0081795
CG18249	FBtr0302178
DNApol-iota	FBtr0081797
DNApol-iota	FBtr0081798
Ada2b	FBtr0334315
Ada2b	FBtr0081807
Ada2b	FBtr0100368
CG9636	FBtr0081806
CG33722	FBtr0339607
RpA-70	FBtr0081867
Mcm2	FBtr0081827
ato	FBtr0081828
mRpL1	FBtr0081832
Sgt1	FBtr0081862
mir-4918	FBtr0309672
CG11693	FBtr0081860
eIF4AIII	FBtr0081834
CG9603	FBtr0081855
Arl2	FBtr0081838
CG9601	FBtr0081854
Atg13	FBtr0081843
CG11737	FBtr0081869
pch2	FBtr0339330
pch2	FBtr0081898
mRpS18A	FBtr0081897
CG31460	FBtr0081873
Mkk4	FBtr0334320
Mkk4	FBtr0081892
Mkk4	FBtr0300443
Dhod	FBtr0081890
Dhod	FBtr0300442
CG11753	FBtr0081879
bel	FBtr0081888
CG8036	FBtr0081882
mRpL19	FBtr0081901
CG9773	FBtr0081953
hb	FBtr0081951
hb	FBtr0081950
Cks85A	FBtr0081949
CG8116	FBtr0081905
CG8116	FBtr0300544
CG8116	FBtr0300543
ranshi	FBtr0081948
M1BP	FBtr0081947
CG8223	FBtr0081915
CR44228	FBtr0337076
Tcp-1eta	FBtr0081918
CG9821	FBtr0081932
CG8379	FBtr0081922
pyd	FBtr0305301
skap	FBtr0334328
RagA-B	FBtr0082013
CG11970	FBtr0346139
CG11970	FBtr0081959
E(var)3-9	FBtr0082012
CG11975	FBtr0081960
CG11975	FBtr0336753
CG11980	FBtr0081962
Prosbeta3	FBtr0082010
CG11982	FBtr0081965
CG11985	FBtr0082006
tgo	FBtr0082005
tgo	FBtr0336755
hyx	FBtr0081968
Rel	FBtr0089341
Rel	FBtr0089340
Rel	FBtr0089339
Rel	FBtr0089338
Mst85C	FBtr0081969
beag	FBtr0081995
D1	FBtr0081988
CG8420	FBtr0081973
Ibf2	FBtr0081984
VhaM8.9	FBtr0081978
Aats-trp	FBtr0081981
CG45050	FBtr0344368
RpL34b	FBtr0339177
CG8132	FBtr0082029
CG9356	FBtr0082048
CG8135	FBtr0082030
CG8149	FBtr0082061
rump	FBtr0082123
Ras85D	FBtr0082122
RnpS1	FBtr0082066
CG8199	FBtr0082067
AP-1mu	FBtr0082114
MBD-like	FBtr0082068
MBD-like	FBtr0082069
CG9393	FBtr0082113
CG9399	FBtr0082110
Kap-alpha3	FBtr0082106
CG8273	FBtr0334655
CG8273	FBtr0082072
CG8301	FBtr0082073
P58IPK	FBtr0082074
CG8312	FBtr0334616
CG8319	FBtr0082077
Crc	FBtr0334618
Crc	FBtr0082103
SpdS	FBtr0082078
